 UPDATE  The latest version of `serve` is 14.2.6
 INFO  Accepting connections at http://localhost:3010
 HTTP  8/4/2026 11:01:42 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:01:42 PM 127.0.0.1 Returned 200 in 25 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 23 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /_next/static/css/c3f1b005d171ca3f.css
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /_next/static/chunks/webpack-fa9d90489440c52f.js
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /_next/static/chunks/app/page-0b1b8d0cfb468f8e.js
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 68 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 47 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 29 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 12 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:02:10 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 GET /_next/static/chunks/108.a207f7aa04fd901d.js
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 Returned 200 in 4 ms
